avg_val_loss,epoch,step,loss
2.5386228561401367,0,36,
,1,36,4.260446071624756
2.194937229156494,1,73,
,2,73,2.7772789001464844
1.9031602144241333,2,110,
,3,110,2.3129143714904785
1.7106605768203735,3,147,
,4,147,1.9487394094467163
1.6134899854660034,4,184,
,5,184,1.6319681406021118
1.5086896419525146,5,221,
,6,221,1.3783825635910034
1.4243974685668945,6,258,
,7,258,1.1792707443237305
1.373165488243103,7,295,
,8,295,1.0008463859558105
1.3884342908859253,8,332,
,9,332,0.8765665292739868
1.377665400505066,9,369,
,10,369,0.7767261862754822
1.366766333580017,10,406,
,11,406,0.6706240177154541
1.3870748281478882,11,443,
,12,443,0.5634459853172302
1.4081600904464722,12,480,
,13,480,0.4861558675765991
1.4437274932861328,13,517,
,14,517,0.43968942761421204
1.474814534187317,14,554,
,15,554,0.4021410644054413
1.461398720741272,15,591,
,16,591,0.3887772262096405
1.4398467540740967,16,628,
,17,628,0.36505118012428284
1.4570693969726562,17,665,
,18,665,0.32834094762802124
1.4040453433990479,18,702,
,19,702,0.2632867097854614
