avg_val_loss,epoch,step,loss
2.574093818664551,0,36,
,1,36,4.344057559967041
2.1692700386047363,1,73,
,2,73,2.810673236846924
1.9352896213531494,2,110,
,3,110,2.3529977798461914
1.7019466161727905,3,147,
,4,147,1.9879790544509888
1.564618706703186,4,184,
,5,184,1.6419745683670044
1.4930479526519775,5,221,
,6,221,1.3848384618759155
1.4421465396881104,6,258,
,7,258,1.1844133138656616
1.4308420419692993,7,295,
,8,295,1.0284335613250732
1.4690642356872559,8,332,
,9,332,0.8883730173110962
1.437999963760376,9,369,
,10,369,0.7755014896392822
1.4746372699737549,10,406,
,11,406,0.688701868057251
1.4447089433670044,11,443,
,12,443,0.5858497619628906
1.4556622505187988,12,480,
,13,480,0.5039471983909607
1.4597363471984863,13,517,
,14,517,0.4481583833694458
1.4849449396133423,14,554,
,15,554,0.40514224767684937
1.5927212238311768,15,591,
,16,591,0.38165825605392456
