avg_val_loss,epoch,step,loss
2.6559741497039795,0,36,
,1,36,6.112401962280273
2.3232295513153076,1,73,
,2,73,5.718530654907227
2.0028581619262695,2,110,
,3,110,5.627618789672852
1.911803960800171,3,147,
,4,147,5.572818279266357
1.766707420349121,4,184,
,5,184,5.447652816772461
1.6434992551803589,5,221,
,6,221,5.422956466674805
1.5584907531738281,6,258,
,7,258,5.286712646484375
1.4946701526641846,7,295,
,8,295,5.2272186279296875
1.4571083784103394,8,332,
,9,332,5.093814849853516
1.4193323850631714,9,369,
,10,369,4.999767780303955
1.3659883737564087,10,406,
,11,406,5.089130878448486
1.339660882949829,11,443,
,12,443,5.048325538635254
1.3522489070892334,12,480,
,13,480,5.041762828826904
1.3254022598266602,13,517,
,14,517,4.800801753997803
1.297023892402649,14,554,
,15,554,4.484752655029297
1.2841832637786865,15,591,
,16,591,4.241823673248291
1.2982250452041626,16,628,
,17,628,3.7236649990081787
1.3230797052383423,17,665,
,18,665,3.4091172218322754
1.3183841705322266,18,702,
,19,702,3.315809965133667
1.326908826828003,19,739,
,20,739,3.2730965614318848
1.3406646251678467,20,776,
,21,776,2.9469761848449707
1.3702428340911865,21,813,
,22,813,3.080570697784424
1.35005784034729,22,850,
,23,850,2.7916133403778076
1.3746118545532227,23,887,
,24,887,3.044163465499878
